org.eclipse.ecf.identity.source          [3.7.0.v20160405-1820]
org.eclipse.ecf.provider.filetransfer    [3.2.200.v20160405-1820]
org.eclipse.ecf.provider.filetransfer.httpclient4 [1.1.100.v20160405-1820]
org.eclipse.ecf.provider.filetransfer.httpclient4.source [1.1.100.v20160405-1820]
org.eclipse.ecf.provider.filetransfer.httpclient4.ssl [1.1.0.v20160405-1820]
org.eclipse.ecf.provider.filetransfer.httpclient4.ssl.source [1.1.0.v20160405-1820]
org.eclipse.ecf.provider.filetransfer.source [3.2.200.v20160405-1820]
org.eclipse.ecf.provider.filetransfer.ssl [1.0.0.v20160405-1820]
org.eclipse.ecf.provider.filetransfer.ssl.source [1.0.0.v20160405-1820]
org.eclipse.ecf.source                   [3.8.0.v20160405-1820]
org.eclipse.ecf.ssl                      [1.2.0.v20160405-1820]
org.eclipse.ecf.ssl.source               [1.2.0.v20160405-1820]
org.eclipse.emf.common                   [2.12.0.v20160420-0247]
org.eclipse.emf.common.source            [2.12.0.v20160420-0247]
org.eclipse.emf.ecore                    [2.12.0.v20160420-0247]
org.eclipse.emf.ecore.change             [2.11.0.v20160420-0247]
org.eclipse.emf.ecore.change.source      [2.11.0.v20160420-0247]
org.eclipse.emf.ecore.source             [2.12.0.v20160420-0247]
org.eclipse.emf.ecore.xmi                [2.12.0.v20160420-0247]
org.eclipse.emf.ecore.xmi.source         [2.12.0.v20160420-0247]
org.eclipse.equinox.app                  [1.3.400.v20150715-1528]
org.eclipse.equinox.app.source           [1.3.400.v20150715-1528]
org.eclipse.equinox.bidi                 [1.0.0.v20160307-1318]
org.eclipse.equinox.bidi.source          [1.0.0.v20160307-1318]
org.eclipse.equinox.bidi.tests           [1.0.100.v20160504-1428]
org.eclipse.equinox.cm                   [1.1.200.v20160324-1850]
org.eclipse.equinox.cm.source            [1.1.200.v20160324-1850]
org.eclipse.equinox.common               [3.8.0.v20160509-1230]
org.eclipse.equinox.common.source        [3.8.0.v20160509-1230]
org.eclipse.equinox.concurrent           [1.1.0.v20130327-1442]
org.eclipse.equinox.concurrent.source    [1.1.0.v20130327-1442]
org.eclipse.equinox.console              [1.1.200.v20150929-1405]
org.eclipse.equinox.console.jaas.fragment [1.0.0.v20130327-1442]
org.eclipse.equinox.console.source       [1.1.200.v20150929-1405]
org.eclipse.equinox.console.ssh          [1.0.100.v20131208-1728]
org.eclipse.equinox.console.ssh.source   [1.0.100.v20131208-1728]
org.eclipse.equinox.coordinator          [1.3.200.v20160325-1323]
org.eclipse.equinox.coordinator.source   [1.3.200.v20160325-1323]
org.eclipse.equinox.device               [1.0.400.v20130327-1442]
org.eclipse.equinox.device.source        [1.0.400.v20130327-1442]
org.eclipse.equinox.ds                   [1.4.400.v20160226-2036]
org.eclipse.equinox.ds.source            [1.4.400.v20160226-2036]
org.eclipse.equinox.ds.tests             [1.2.300.v20160504-1428]
org.eclipse.equinox.event                [1.3.200.v20160324-1850]
org.eclipse.equinox.event.source         [1.3.200.v20160324-1850]
org.eclipse.equinox.frameworkadmin       [2.0.300.v20160504-1450]
org.eclipse.equinox.frameworkadmin.equinox [1.0.700.v20160102-2223]
org.eclipse.equinox.frameworkadmin.equinox.source [1.0.700.v20160102-2223]
org.eclipse.equinox.frameworkadmin.source [2.0.300.v20160504-1450]
org.eclipse.equinox.frameworkadmin.test  [1.1.100.v20150430-1836]
org.eclipse.equinox.http.jetty           [3.3.0.v20160324-1850]
org.eclipse.equinox.http.jetty.source    [3.3.0.v20160324-1850]
org.eclipse.equinox.http.registry        [1.1.400.v20150715-1528]
org.eclipse.equinox.http.registry.source [1.1.400.v20150715-1528]
org.eclipse.equinox.http.servlet         [1.3.0.v20160517-1559, 1.3.1.v20160808-1329]
org.eclipse.equinox.http.servlet.source  [1.3.0.v20160517-1559, 1.3.1.v20160808-1329]
org.eclipse.equinox.http.servlet.tests   [1.0.100.v20160518-1353]
org.eclipse.equinox.http.servletbridge   [1.0.300.v20130327-1442]
org.eclipse.equinox.http.servletbridge.source [1.0.300.v20130327-1442]
org.eclipse.equinox.io                   [1.1.100.v20150430-1834]
org.eclipse.equinox.io.source            [1.1.100.v20150430-1834]
org.eclipse.equinox.ip                   [1.1.300.v20130327-1442]
org.eclipse.equinox.ip.source            [1.1.300.v20130327-1442]
org.eclipse.equinox.jsp.jasper           [1.0.500.v20150119-1358]
org.eclipse.equinox.jsp.jasper.registry  [1.0.300.v20130327-1442]
org.eclipse.equinox.jsp.jasper.registry.source [1.0.300.v20130327-1442]
org.eclipse.equinox.jsp.jasper.source    [1.0.500.v20150119-1358]
org.eclipse.equinox.launcher             [1.3.200.v20160318-1642, 1.3.201.v20161025-1711]
org.eclipse.equinox.launcher.cocoa.macosx.x86_64 [1.1.400.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.gtk.aix.ppc [1.1.300.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.gtk.aix.ppc64 [1.1.300.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.gtk.hpux.ia64 [1.0.300.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.gtk.linux.ppc [1.1.400.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.gtk.linux.ppc64 [1.0.400.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.gtk.linux.ppc64le [1.0.400.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.gtk.linux.s390 [1.1.400.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.gtk.linux.s390x [1.1.400.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.gtk.linux.x86 [1.1.400.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.gtk.linux.x86_64 [1.1.400.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.gtk.solaris.sparcv9 [1.1.300.v20160525-1303, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.gtk.solaris.x86_64 [1.1.300.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.source      [1.3.200.v20160318-1642, 1.3.201.v20161025-1711]
org.eclipse.equinox.launcher.win32.win32.x86 [1.1.400.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.launcher.win32.win32.x86_64 [1.1.400.v20160518-1444, 1.1.401.v20161122-1740]
org.eclipse.equinox.metatype             [1.4.200.v20160324-1850]
org.eclipse.equinox.metatype.source      [1.4.200.v20160324-1850]
org.eclipse.equinox.p2.artifact.repository [1.1.500.v20160419-0834]
org.eclipse.equinox.p2.artifact.repository.source [1.1.500.v20160419-0834]
org.eclipse.equinox.p2.console           [1.0.500.v20160504-1450]
org.eclipse.equinox.p2.console.source    [1.0.500.v20160504-1450]
org.eclipse.equinox.p2.core              [2.4.100.v20160419-0834]
org.eclipse.equinox.p2.core.source       [2.4.100.v20160419-0834]
org.eclipse.equinox.p2.director          [2.3.300.v20160504-1450]
org.eclipse.equinox.p2.director.app      [1.0.500.v20160419-0834]
org.eclipse.equinox.p2.director.app.source [1.0.500.v20160419-0834]
