assertj-core                             [3.22.0]
org.eclipse.e4.ui.tests                  [0.14.700.v20220517-1745]
org.eclipse.e4.ui.tests.css.core         [1.301.200.v20220330-1018]
org.eclipse.e4.ui.tests.css.swt          [0.11.400.v20220506-1520]
org.eclipse.e4.ui.widgets                [1.3.0.v20210621-1136]
org.eclipse.e4.ui.widgets.source         [1.3.0.v20210621-1136]
org.eclipse.e4.ui.workbench              [1.13.100.v20211019-0756]
org.eclipse.e4.ui.workbench.addons.swt   [1.4.400.v20211102-0453]
org.eclipse.e4.ui.workbench.addons.swt.source [1.4.400.v20211102-0453]
org.eclipse.e4.ui.workbench.renderers.swt [0.15.500.v20220511-1638]
org.eclipse.e4.ui.workbench.renderers.swt.cocoa [0.12.600.v20200416-0656]
org.eclipse.e4.ui.workbench.renderers.swt.cocoa.source [0.12.600.v20200416-0656]
org.eclipse.e4.ui.workbench.renderers.swt.source [0.15.500.v20220511-1638]
org.eclipse.e4.ui.workbench.source       [1.13.100.v20211019-0756]
org.eclipse.e4.ui.workbench.swt          [0.16.500.v20220506-1520]
org.eclipse.e4.ui.workbench.swt.source   [0.16.500.v20220506-1520]
org.eclipse.e4.ui.workbench3             [0.16.0.v20210619-0956]
org.eclipse.e4.ui.workbench3.source      [0.16.0.v20210619-0956]
org.eclipse.ecf                          [3.10.0.v20210925-0032]
org.eclipse.ecf.filetransfer             [5.1.102.v20210409-2301]
org.eclipse.ecf.filetransfer.source      [5.1.102.v20210409-2301]
org.eclipse.ecf.identity                 [3.9.402.v20210409-2301]
org.eclipse.ecf.identity.source          [3.9.402.v20210409-2301]
org.eclipse.ecf.provider.filetransfer    [3.2.800.v20220215-0126]
org.eclipse.ecf.provider.filetransfer.httpclient5 [1.0.300.v20220215-0126]
org.eclipse.ecf.provider.filetransfer.httpclient5.source [1.0.300.v20220215-0126]
org.eclipse.ecf.provider.filetransfer.httpclient5.win32 [1.0.400.v20220109-1926]
org.eclipse.ecf.provider.filetransfer.httpclient5.win32.source [1.0.400.v20220109-1926]
org.eclipse.ecf.provider.filetransfer.source [3.2.800.v20220215-0126]
org.eclipse.ecf.provider.filetransfer.ssl [1.0.201.v20210409-2301]
org.eclipse.ecf.provider.filetransfer.ssl.source [1.0.201.v20210409-2301]
org.eclipse.ecf.source                   [3.10.0.v20210925-0032]
org.eclipse.ecf.ssl                      [1.2.401.v20210409-2301]
org.eclipse.ecf.ssl.source               [1.2.401.v20210409-2301]
org.eclipse.emf.common                   [2.25.0.v20220325-0806]
org.eclipse.emf.common.source            [2.25.0.v20220325-0806]
org.eclipse.emf.databinding              [1.6.0.v20220516-1117]
org.eclipse.emf.databinding.edit         [1.7.0.v20210113-0340]
org.eclipse.emf.databinding.edit.source  [1.7.0.v20210113-0340]
org.eclipse.emf.databinding.source       [1.6.0.v20220516-1117]
org.eclipse.emf.ecore                    [2.27.0.v20220426-0617]
org.eclipse.emf.ecore.change             [2.14.0.v20190528-0725]
org.eclipse.emf.ecore.change.source      [2.14.0.v20190528-0725]
org.eclipse.emf.ecore.source             [2.27.0.v20220426-0617]
org.eclipse.emf.ecore.xmi                [2.16.0.v20190528-0725]
org.eclipse.emf.ecore.xmi.source         [2.16.0.v20190528-0725]
org.eclipse.emf.edit                     [2.17.0.v20220201-1551]
org.eclipse.emf.edit.source              [2.17.0.v20220201-1551]
org.eclipse.equinox.app                  [1.6.100.v20211021-1418]
org.eclipse.equinox.app.source           [1.6.100.v20211021-1418]
org.eclipse.equinox.bidi                 [1.4.100.v20211021-1418]
org.eclipse.equinox.bidi.source          [1.4.100.v20211021-1418]
org.eclipse.equinox.bidi.tests           [1.3.100.v20211021-1418]
org.eclipse.equinox.cm                   [1.5.100.v20211021-1418]
org.eclipse.equinox.cm.source            [1.5.100.v20211021-1418]
